name,ticker,code
SLATER & GORDON LIMITED,SGH,SGH.AX
SIMS METAL MANAGEMENT LIMITED,SGM,SGM.AX
STW COMMUNICATIONS GROUP LIMITED,SGN,SGN.AX
STOCKLAND,SGP,SGP.AX
SINGAPORE TELECOMMUNICATIONS LIMITED.,SGT,SGT.AX
SONIC HEALTHCARE LIMITED,SHL,SHL.AX
SELECT HARVESTS LIMITED,SHV,SHV.AX
SIGMA PHARMACEUTICALS LIMITED,SIP,SIP.AX
SIRIUS RESOURCES NL,SIR,SIR.AX
SKYCITY ENTERTAINMENT GROUP LIMITED,SKC,SKC.AX
SKILLED GROUP LIMITED,SKE,SKE.AX
SPARK INFRASTRUCTURE GROUP,SKI,SKI.AX
SKY NETWORK TELEVISION LIMITED.,SKT,SKT.AX
SILVER LAKE RESOURCES LIMITED,SLR,SLR.AX
SILEX SYSTEMS LIMITED,SLX,SLX.AX
SMS MANAGEMENT & TECHNOLOGY LIMITED.,SMX,SMX.AX
SPARK NEW ZEALAND LIMITED,SPK,SPK.AX
STARPHARMA HOLDINGS LIMITED,SPL,SPL.AX
SIRTEX MEDICAL LIMITED,SRX,SRX.AX
SANTOS LIMITED,STO,STO.AX
SPDR S&P/ASX 200 FUND,STW,STW.AX
SUPER RETAIL GROUP LIMITED,SUL,SUL.AX
SUNCORP GROUP LIMITED,SUN,SUN.AX
SEVEN GROUP HOLDINGS LIMITED,SVW,SVW.AX
SEVEN WEST MEDIA LIMITED,SWM,SWM.AX
SOUTHERN CROSS MEDIA GROUP LIMITED,SXL,SXL.AX
SENEX ENERGY LIMITED,SXY,SXY.AX
SYDNEY AIRPORT,SYD,SYD.AX
SYRAH RESOURCES LIMITED,SYR,SYR.AX
TABCORP HOLDINGS LIMITED,TAH,TAH.AX
TRANSURBAN GROUP,TCL,TCL.AX
TEN NETWORK HOLDINGS LIMITED,TEN,TEN.AX
TFS CORPORATION LIMITED,TFC,TFC.AX
THORN GROUP LIMITED,TGA,TGA.AX
TASSAL GROUP LIMITED,TGR,TGR.AX
TIGER RESOURCES LIMITED,TGS,TGS.AX
360 CAPITAL INDUSTRIAL FUND,TIX,TIX.AX
TELSTRA CORPORATION LIMITED.,TLS,TLS.AX
TRADE ME GROUP LIMITED,TME,TME.AX
TOLL HOLDINGS LIMITED,TOL,TOL.AX
TOX FREE SOLUTIONS LIMITED,TOX,TOX.AX
TRANSPACIFIC INDUSTRIES GROUP LTD,TPI,TPI.AX
TPG TELECOM LIMITED,TPM,TPM.AX
TREASURY GROUP LIMITED,TRG,TRG.AX
THE REJECT SHOP LIMITED,TRS,TRS.AX
TROY RESOURCES LIMITED,TRY,TRY.AX
TRANSFIELD SERVICES LIMITED,TSE,TSE.AX
TATTS GROUP LIMITED,TTS,TTS.AX
TREASURY WINE ESTATES LIMITED,TWE,TWE.AX
UGL LIMITED,UGL,UGL.AX
UXC LIMITED,UXC,UXC.AX
VEDA GROUP LIMITED,VED,VED.AX
VOCATION LIMITED,VET,VET.AX
VOCUS COMMUNICATIONS LIMITED,VOC,VOC.AX
VILLAGE ROADSHOW LIMITED,VRL,VRL.AX
VIRTUS HEALTH LIMITED,VRT,VRT.AX
WESTPAC BANKING CORPORATION,WBC,WBC.AX
WESTERN DESERT RESOURCES LIMITED,WDR,WDR.AX
WEBJET LIMITED,WEB,WEB.AX
WESFARMERS LIMITED,WES,WES.AX
WESTFIELD CORPORATION,WFD,WFD.AX
WHITEHAVEN COAL LIMITED,WHC,WHC.AX
WORLEYPARSONS LIMITED,WOR,WOR.AX
WOOLWORTHS LIMITED,WOW,WOW.AX
WOODSIDE PETROLEUM LIMITED,WPL,WPL.AX
WESTERN AREAS LIMITED,WSA,WSA.AX
WOTIF.COM HOLDINGS LIMITED,WTF,WTF.AX
