date,Close,Return,Quarter
5/2/2010,4514.100098,-0.023,Q1
8/2/2010,4521.399902,0.002,Q1
9/2/2010,4505.100098,-0.004,Q1
10/2/2010,4513.399902,0.002,Q1
11/2/2010,4554.299805,0.009,Q1
12/2/2010,4562.100098,0.002,Q1
15/2/2010,4545.5,-0.004,Q1
16/2/2010,4567.799805,0.005,Q1
17/2/2010,4667.899902,0.022,Q1
18/2/2010,4654.899902,-0.003,Q1
19/2/2010,4635.100098,-0.004,Q1
22/2/2010,4717.5,0.018,Q1
23/2/2010,4718.299805,0,Q1
24/2/2010,4648.5,-0.015,Q1
25/2/2010,4594.100098,-0.012,Q1
26/2/2010,4637.700195,0.009,Q1
1/3/2010,4686.5,0.011,Q1
2/3/2010,4701.899902,0.003,Q1
3/3/2010,4735.700195,0.007,Q1
4/3/2010,4750.5,0.003,Q1
5/3/2010,4767.200195,0.004,Q1
8/3/2010,4807.899902,0.009,Q1
9/3/2010,4820.100098,0.003,Q1
10/3/2010,4820,0,Q1
11/3/2010,4814.200195,-0.001,Q1
12/3/2010,4818.100098,0.001,Q1
15/3/2010,4784.100098,-0.007,Q1
16/3/2010,4797.200195,0.003,Q1
17/3/2010,4853.200195,0.012,Q1
18/3/2010,4863.100098,0.002,Q1
19/3/2010,4872.200195,0.002,Q1
22/3/2010,4830.200195,-0.009,Q1
23/3/2010,4874.799805,0.009,Q1
24/3/2010,4891.5,0.003,Q1
25/3/2010,4885.399902,-0.001,Q1
26/3/2010,4896.899902,0.002,Q1
29/3/2010,4897.299805,0,Q1
30/3/2010,4916.799805,0.004,Q1
31/3/2010,4875.5,-0.008,Q1
1/4/2010,4907.700195,0.007,Q2
6/4/2010,4953.700195,0.009,Q2
7/4/2010,4960.899902,0.001,Q2
8/4/2010,4937.899902,-0.005,Q2
9/4/2010,4948.100098,0.002,Q2
12/4/2010,4984.299805,0.007,Q2
13/4/2010,4951.600098,-0.007,Q2
14/4/2010,4994.700195,0.009,Q2
15/4/2010,5001.899902,0.001,Q2
16/4/2010,4984.700195,-0.003,Q2
19/4/2010,4915.100098,-0.014,Q2
20/4/2010,4925.799805,0.002,Q2
21/4/2010,4954.299805,0.006,Q2
22/4/2010,4907.399902,-0.009,Q2
23/4/2010,4881.5,-0.005,Q2
27/4/2010,4880,0,Q2
28/4/2010,4822.799805,-0.012,Q2
29/4/2010,4785.600098,-0.008,Q2
30/4/2010,4807.399902,0.005,Q2
3/5/2010,4785.5,-0.005,Q2
4/5/2010,4737.100098,-0.01,Q2
5/5/2010,4674,-0.013,Q2
6/5/2010,4573.200195,-0.022,Q2
7/5/2010,4480.700195,-0.02,Q2
10/5/2010,4599.799805,0.027,Q2
11/5/2010,4548,-0.011,Q2
12/5/2010,4573,0.005,Q2
13/5/2010,4652.799805,0.017,Q2
14/5/2010,4611.100098,-0.009,Q2
17/5/2010,4467.200195,-0.031,Q2
18/5/2010,4470.700195,0.001,Q2
19/5/2010,4387.100098,-0.019,Q2
20/5/2010,4316.5,-0.016,Q2
21/5/2010,4305.399902,-0.003,Q2
24/5/2010,4395.399902,0.021,Q2
25/5/2010,4265.299805,-0.03,Q2
26/5/2010,4307.200195,0.01,Q2
27/5/2010,4379.200195,0.017,Q2
28/5/2010,4457.5,0.018,Q2
31/5/2010,4429.700195,-0.006,Q2
1/6/2010,4413.100098,-0.004,Q2
2/6/2010,4381,-0.007,Q2
3/6/2010,4486,0.024,Q2
4/6/2010,4449.399902,-0.008,Q2
7/6/2010,4325.899902,-0.028,Q2
8/6/2010,4381.200195,0.013,Q2
9/6/2010,4385.299805,0.001,Q2
10/6/2010,4435.299805,0.011,Q2
11/6/2010,4505.5,0.016,Q2
15/6/2010,4505,0,Q2
17/6/2010,4527.299805,0.005,Q2
18/6/2010,4551.899902,0.005,Q2
21/6/2010,4612.600098,0.013,Q2
22/6/2010,4558.299805,-0.012,Q2
23/6/2010,4486.100098,-0.016,Q2
24/6/2010,4479.700195,-0.001,Q2
25/6/2010,4413,-0.015,Q2
28/6/2010,4384.5,-0.006,Q2
29/6/2010,4345.700195,-0.009,Q2
30/6/2010,4301.5,-0.01,Q2
1/7/2010,4237.5,-0.015,Q3
2/7/2010,4238.700195,0,Q3
5/7/2010,4222.100098,-0.004,Q3
6/7/2010,4276.100098,0.013,Q3
7/7/2010,4254.600098,-0.005,Q3
8/7/2010,4356.899902,0.024,Q3
9/7/2010,4396.299805,0.009,Q3
12/7/2010,4409.899902,0.003,Q3
13/7/2010,4380.299805,-0.007,Q3
14/7/2010,4462.399902,0.019,Q3
15/7/2010,4442.600098,-0.004,Q3
16/7/2010,4422.700195,-0.004,Q3
19/7/2010,4358.299805,-0.015,Q3
20/7/2010,4403.600098,0.01,Q3
21/7/2010,4412.700195,0.002,Q3
22/7/2010,4374.700195,-0.009,Q3
23/7/2010,4458.399902,0.019,Q3
26/7/2010,4486.100098,0.006,Q3
27/7/2010,4497.399902,0.003,Q3
28/7/2010,4529.899902,0.007,Q3
29/7/2010,4524.100098,-0.001,Q3
30/7/2010,4493.5,-0.007,Q3
2/8/2010,4541.600098,0.011,Q3
3/8/2010,4571.600098,0.007,Q3
4/8/2010,4542.100098,-0.006,Q3
5/8/2010,4566.5,0.005,Q3
6/8/2010,4566.100098,0,Q3
9/8/2010,4594.899902,0.006,Q3
10/8/2010,4540.700195,-0.012,Q3
11/8/2010,4455.5,-0.019,Q3
12/8/2010,4400.899902,-0.012,Q3
13/8/2010,4459.600098,0.013,Q3
16/8/2010,4438.5,-0.005,Q3
17/8/2010,4477,0.009,Q3
18/8/2010,4474.899902,0,Q3
19/8/2010,4479,0.001,Q3
20/8/2010,4430.899902,-0.011,Q3
23/8/2010,4429,0,Q3
24/8/2010,4381.299805,-0.011,Q3
25/8/2010,4320.100098,-0.014,Q3
26/8/2010,4356,0.008,Q3
27/8/2010,4370.100098,0.003,Q3
30/8/2010,4452.700195,0.019,Q3
31/8/2010,4404.200195,-0.011,Q3
1/9/2010,4495.700195,0.021,Q3
2/9/2010,4532.700195,0.008,Q3
3/9/2010,4541.200195,0.002,Q3
6/9/2010,4575.5,0.008,Q3
7/9/2010,4573.200195,-0.001,Q3
8/9/2010,4537.200195,-0.008,Q3
9/9/2010,4582.200195,0.01,Q3
10/9/2010,4560.299805,-0.005,Q3
13/9/2010,4614.899902,0.012,Q3
14/9/2010,4626.5,0.003,Q3
15/9/2010,4661.5,0.008,Q3
16/9/2010,4605.299805,-0.012,Q3
17/9/2010,4638.899902,0.007,Q3
20/9/2010,4631.299805,-0.002,Q3
21/9/2010,4617.5,-0.003,Q3
22/9/2010,4625.200195,0.002,Q3
23/9/2010,4633.600098,0.002,Q3
24/9/2010,4601.899902,-0.007,Q3
27/9/2010,4675.399902,0.016,Q3
28/9/2010,4669.799805,-0.001,Q3
29/9/2010,4645,-0.005,Q3
30/9/2010,4582.899902,-0.013,Q3
1/10/2010,4579.200195,-0.001,Q4
4/10/2010,4625.299805,0.01,Q4
5/10/2010,4606.899902,-0.004,Q4
6/10/2010,4686.799805,0.017,Q4
7/10/2010,4691.299805,0.001,Q4
8/10/2010,4681.399902,-0.002,Q4
11/10/2010,4697.5,0.003,Q4
12/10/2010,4618.200195,-0.017,Q4
13/10/2010,4619.899902,0,Q4
14/10/2010,4699.100098,0.017,Q4
15/10/2010,4689,-0.002,Q4
18/10/2010,4651.899902,-0.008,Q4
19/10/2010,4655.700195,0.001,Q4
20/10/2010,4624.899902,-0.007,Q4
21/10/2010,4622.899902,0,Q4
22/10/2010,4648.200195,0.005,Q4
25/10/2010,4710,0.013,Q4
26/10/2010,4687.799805,-0.005,Q4
27/10/2010,4648.100098,-0.008,Q4
28/10/2010,4684.899902,0.008,Q4
29/10/2010,4661.600098,-0.005,Q4
1/11/2010,4698.5,0.008,Q4
2/11/2010,4701.399902,0.001,Q4
3/11/2010,4722.600098,0.005,Q4
4/11/2010,4745.299805,0.005,Q4
5/11/2010,4800.600098,0.012,Q4
8/11/2010,4778.399902,-0.005,Q4
9/11/2010,4740.700195,-0.008,Q4
10/11/2010,4699.799805,-0.009,Q4
11/11/2010,4728.600098,0.006,Q4
12/11/2010,4692.700195,-0.008,Q4
15/11/2010,4688,-0.001,Q4
16/11/2010,4700.299805,0.003,Q4
17/11/2010,4624.299805,-0.016,Q4
18/11/2010,4640.200195,0.003,Q4
19/11/2010,4629.200195,-0.002,Q4
22/11/2010,4643.5,0.003,Q4
23/11/2010,4589.100098,-0.012,Q4
24/11/2010,4584.600098,-0.001,Q4
25/11/2010,4593.399902,0.002,Q4
26/11/2010,4598.299805,0.001,Q4
29/11/2010,4618.5,0.004,Q4
30/11/2010,4584.399902,-0.007,Q4
1/12/2010,4586.600098,0,Q4
2/12/2010,4676.200195,0.02,Q4
3/12/2010,4694.200195,0.004,Q4
6/12/2010,4688.600098,-0.001,Q4
7/12/2010,4726.799805,0.008,Q4
8/12/2010,4699.899902,-0.006,Q4
9/12/2010,4741.299805,0.009,Q4
10/12/2010,4745.899902,0.001,Q4
13/12/2010,4757.100098,0.002,Q4
14/12/2010,4766.899902,0.002,Q4
15/12/2010,4767.799805,0,Q4
16/12/2010,4784,0.003,Q4
17/12/2010,4763.100098,-0.004,Q4
20/12/2010,4736.600098,-0.006,Q4
21/12/2010,4771.899902,0.007,Q4
22/12/2010,4778.399902,0.001,Q4
23/12/2010,4799,0.004,Q4
24/12/2010,4777.299805,-0.005,Q4
29/12/2010,4775.200195,0,Q4
30/12/2010,4790.399902,0.003,Q4
31/12/2010,4745.200195,-0.009,Q4
4/1/2011,4742.5,-0.001,Q1
5/1/2011,4714.899902,-0.006,Q1
6/1/2011,4725,0.002,Q1
7/1/2011,4705,-0.004,Q1
10/1/2011,4712.299805,0.002,Q1
11/1/2011,4710.700195,0,Q1
12/1/2011,4724.200195,0.003,Q1
13/1/2011,4795.200195,0.015,Q1
14/1/2011,4801.5,0.001,Q1
17/1/2011,4763.100098,-0.008,Q1
18/1/2011,4801.799805,0.008,Q1
19/1/2011,4834.600098,0.007,Q1
20/1/2011,4783.700195,-0.011,Q1
21/1/2011,4755.700195,-0.006,Q1
24/1/2011,4786,0.006,Q1
25/1/2011,4807.799805,0.005,Q1
27/1/2011,4806.100098,0,Q1
28/1/2011,4774.899902,-0.006,Q1
31/1/2011,4753.899902,-0.004,Q1
1/2/2011,4752.100098,0,Q1
2/2/2011,4796.5,0.009,Q1
3/2/2011,4820.600098,0.005,Q1
4/2/2011,4862.700195,0.009,Q1
7/2/2011,4868.5,0.001,Q1
8/2/2011,4890.399902,0.004,Q1
9/2/2011,4904.799805,0.003,Q1
10/2/2011,4914.399902,0.002,Q1
11/2/2011,4880.899902,-0.007,Q1
14/2/2011,4935.799805,0.011,Q1
15/2/2011,4931,-0.001,Q1
16/2/2011,4930.200195,0,Q1
17/2/2011,4938.399902,0.002,Q1
18/2/2011,4936.700195,0,Q1
21/2/2011,4900,-0.007,Q1
22/2/2011,4856.700195,-0.009,Q1
23/2/2011,4845.899902,-0.002,Q1
24/2/2011,4809.299805,-0.008,Q1
25/2/2011,4836.5,0.006,Q1
28/2/2011,4831.700195,-0.001,Q1
1/3/2011,4826.399902,-0.001,Q1
2/3/2011,4803.200195,-0.005,Q1
3/3/2011,4806.399902,0.001,Q1
4/3/2011,4864.299805,0.012,Q1
7/3/2011,4797.899902,-0.014,Q1
8/3/2011,4808.200195,0.002,Q1
9/3/2011,4767.799805,-0.008,Q1
10/3/2011,4699.700195,-0.014,Q1
11/3/2011,4644.799805,-0.012,Q1
14/3/2011,4626.399902,-0.004,Q1
15/3/2011,4528.700195,-0.021,Q1
16/3/2011,4558.200195,0.007,Q1
17/3/2011,4555.299805,-0.001,Q1
18/3/2011,4626.399902,0.016,Q1
21/3/2011,4642.799805,0.004,Q1
22/3/2011,4643.399902,0,Q1
23/3/2011,4652.399902,0.002,Q1
24/3/2011,4699.600098,0.01,Q1
25/3/2011,4742.600098,0.009,Q1
28/3/2011,4733.600098,-0.002,Q1
29/3/2011,4755.799805,0.005,Q1
30/3/2011,4822.200195,0.014,Q1
31/3/2011,4837.899902,0.003,Q1
1/4/2011,4861.799805,0.005,Q2
4/4/2011,4886.799805,0.005,Q2
5/4/2011,4900.100098,0.003,Q2
6/4/2011,4912.899902,0.003,Q2
7/4/2011,4908.100098,-0.001,Q2
8/4/2011,4940.600098,0.007,Q2
11/4/2011,4971.200195,0.006,Q2
12/4/2011,4898.700195,-0.015,Q2
13/4/2011,4911,0.003,Q2
14/4/2011,4884.200195,-0.005,Q2
15/4/2011,4852.100098,-0.007,Q2
